Daniel Schmidt 	VN NN 
Thomas Rohde 	VN NN 
Jörn Andresen 	VN NN 
Anja Hauschildt 	VN NN 
Marie Nissen 	VN NN 
Jörg Hubrich 	VN NN 
TuS-Spielführer Jörg Hubrich 	TIT VN NN 
Georg Pohls 	VN NN 
Georg Pohl 	VN NN 
Matthias Menzel 	VN NN 
Rouven Kanitz 	VN NN 
Jakob Wehmeier 	VN NN 
Thorsten Müller 	VN NN 
Heide Simonis 	VN NN 
Ministerpräsidentin Heide Simonis 	TIT VN NN 
Stefan Arlt 	VN NN 
Heide-Park-Sprecher Stefan Arlt 	TIT VN NN 
Gerhard Schmid 	VN NN 
Mobilcom-Chefs Gerhard Schmid 	TIT VN NN 
Bernhard Uzun 	VN NN 
Wolfgang Bosbach 	VN NN 
Konrad Freiberg 	VN NN 
Otto Schily 	VN NN 
Bundesinnenminister Otto Schily 	TIT VN NN 
Michael Knipper 	VN NN 
Hauptgeschäftsführer Michael Knipper 	TIT VN NN 
Bernhard Uzun 	VN NN 
Hansjürgen Garstka 	VN NN 
Michael Glos 	VN NN 
Landesgruppenchef Michael Glos 	TIT VN NN 
Hans Eichel 	VN NN 
Finanzminister Hans Eichel 	TIT VN NN 
Olaf Scholz 	VN NN 
Joschka Fischer 	VN NN 
Außenminister Joschka Fischer 	TIT VN NN 
Außenminister Fischer 	TIT NN 
Lex Fischer 	VN NN 
Jörg Schönbohm 	VN NN 
Landesinnenminister Jörg Schönbohm 	TIT VN NN 
Angela Merkel 	VN NN 
CDU-Chefin Angela Merkel 	TIT VN NN 
Helmut Kohl 	VN NN 
Roman Herzog 	VN NN 
Alt-Bundespräsident Roman Herzog 	TIT VN NN 
Henry Kissinger 	VN NN 
Ex-US-Außenminister Henry Kissinger 	TIT VN NN 
Monika Hohlmeier 	VN NN 
Kultusministerin Monika Hohlmeier 	TIT VN NN 
Edmund Stoiber 	VN NN 
Ministerpräsident Edmund Stoiber 	TIT VN NN 
Joschka Fischer 	VN NN 
Außenminister Joschka Fischer 	TIT VN NN 
Michael Howard 	VN NN 
Tory-Spitzenkandidat Michael Howard 	TIT VN NN 
Tony Blair 	VN NN 
Michael Howard 	VN NN 
Charles Kennedy 	VN NN 
Konstantin von Tischendorf 	VN ZN NN 
Leipziger Theologieprofessor Konstantin von Tischendorf 	TIT TIT VN ZN NN 
Ekkehard Henschke 	VN NN 
Lech Walesa 	VN NN 
Friedensnobelpreisträger Lech Walesa 	TIT VN NN 
Silvan Schalom 	VN NN 
Außenministers Silvan Schalom 	TIT VN NN 
Donald Rumsfeld 	VN NN 
Verteidigungsminister Donald Rumsfeld 	TIT VN NN 
Harald Pinger 	VN NN 
Matthias Bellmann 	VN NN 
Personalvorstand Matthias Bellmann 	TIT VN NN 
Thomas Cook 	VN NN 
Thomas Cook 	VN NN 
Walter Hering 	VN NN 
Walter Hering 	VN NN 
Thomas Cook 	VN NN 
Jürgen Branse 	VN NN 
Holiday-Jack-Geschäftsführer Jürgen Branse 	TIT VN NN 
Thomas Cook 	VN NN 
Martin Fliedner 	VN NN 
Harper Petersen 	VN NN 
Peter Kruse 	VN NN 
Wendelin Wiedeking 	VN NN 
Porsche-Chef Wendelin Wiedeking 	TIT VN NN 
Josef Ackermann 	VN NN 
Deutsche-Bank-Chef Josef Ackermann 	TIT VN NN 
Georg Wilhelm Adamowitsch 	VN VN NN 
Wirtschaftsstaatssekretär Georg Wilhelm Adamowitsch 	TIT VN VN NN 
Andreas Schweickert 	VN NN 
Frank Bohmann 	VN NN 
HBL-Geschäftsführer Frank Bohmann 	TIT VN NN 
Thorsten Storm 	VN NN 
Geschäftsführer Thorsten Storm 	TIT VN NN 
Bernd Rigterink 	VN NN 
Manager Bernd Rigterink 	TIT VN NN 
Achim Feifel 	VN NN 
Gerd Hein 	VN NN 
HSV-Aufsichtsrat Gerd Hein 	TIT VN NN 
Hartmut Engel 	VN NN 
Gerd Hein 	VN NN 
Kathrin Platz 	VN NN 
Geschäftsführerin Kathrin Platz 	TIT VN NN 
Anneke Böhmert 	VN NN 
Melanie Cremer 	VN NN 
Michaela Scheibe 	VN NN 
Peter Krueger 	VN NN 
Joachim Mahn 	VN NN 
Meistertrainer Joachim Mahn 	TIT VN NN 
Immobilienmakler Engel 	TIT NN 
Moritz Falcke 	VN NN 
Eike Duckwitz 	VN NN 
Sebastian Biederlack 	VN NN 
Eike Duckwitz 	VN NN 
Joachim Mahn 	VN NN 
Trainer Joachim Mahn 	TIT VN NN 
Michael Schumacher 	VN NN 
Dirk Nowitzki 	VN NN 
Jon Mewes 	VN NN 
Winfried M . Klimek 	VN MIX PU NN 
Steffen Karg 	VN NN 
Nikolaus Mondt 	VN NN 
Teamkollegen Nikolaus Mondt 	TIT VN NN 
Jan Benda 	VN NN 
Steffen Hoffmann 	VN NN 
Michael Fischer 	VN NN 
